Administrative_Area,Cuisine,Restaurant_id,Restaurant_Name,Restaurant_price,Restaurant_Ratings,User_Ratings_Total
DUBLIN CITY,African,4afbcb53f964a520141f22e3,Il Caffè di Napoli,2,4.5,816
DUBLIN CITY,African,4c13966ba5eb76b0f01ec0b7,Akanchawa's Honey Pot,1,3.8,6
DUBLIN CITY,American,4cdd9beaf8a4a1431027d1bc,The Butcher Grill,3,4.6,469
DUBLIN CITY,American,4b8d5387f964a520c1f432e3,TriBeCa,2,4.3,889
DUBLIN CITY,American,4ade0f09f964a520de7021e3,Hard Rock Cafe Dublin,3,4.2,4732
DUBLIN CITY,American,4af2d5a7f964a520abe821e3,Herbstreet,2,4.4,1520
DUBLIN CITY,American,4b19a00df964a520ade023e3,Eddie Rocket's,2,4,1777
DUBLIN CITY,American,54426aa3498e28f66d4b4353,Dolce Sicily,2,4.5,1861
DUBLIN CITY,American,50d17a39e4b08647fe9dc66f,Goose on the Loose,1,4.5,232
DUBLIN CITY,American,4b2289b0f964a520974824e3,Lemon Crêpe & Coffee Company,2,4.5,628
DUBLIN CITY,American,4ade0f38f964a5208b7121e3,Eddie Rocket's,2,4,1777
DUBLIN CITY,American,4b070dc9f964a5205af622e3,The Long Hall,2,4.6,2234
DUBLIN CITY,American,4f85d1a6e4b08d4038372c98,The Brew Dock,2,4.3,1848
DUBLIN CITY,American,4af1e5c9f964a5203ae421e3,The Porterhouse Central,2,4.5,914
DUBLIN CITY,American,4ade0f3df964a5209e7121e3,Thunder Road Café,2,4.2,2685
DUBLIN CITY,American,4b029607f964a520014922e3,Woolshed Baa & Grill,2,4.3,2837
DUBLIN CITY,American,4b62f8d4f964a5208d5b2ae3,Eddie Rocket's,2,4,362
DUBLIN CITY,American,4aff43acf964a520ac3622e3,The Bleeding Horse,2,4.3,2621
DUBLIN CITY,American,4e04de97aeb771d9788243d8,Milano,2,4,227
DUBLIN CITY,American,4be2ba6ef07b0f479402f643,Eddie Rocket's,2,3.8,685
DUBLIN CITY,American,4b059617f964a5207adf22e3,Milano,2,4,227
DUBLIN CITY,Chinese,4b26b074f964a5208c7f24e3,Hilan Korean & Chinese Restaurant,2,4.1,765
DUBLIN CITY,Chinese,5c07ecc2e9b9a500252f9c13,Xian Street Food,-,4.4,659
DUBLIN CITY,Chinese,582caf96d21e034889796cf3,Hang Dai Chinese,2,4.4,637
DUBLIN CITY,Chinese,5386097c498e5a8cd9ed588a,Duck,1,4.4,659
DUBLIN CITY,Chinese,4b996581f964a520617835e3,Charming Noodles,1,4.5,390
DUBLIN CITY,Chinese,4b51995df964a5206e5027e3,Good World Chinese Restaurant,2,4,418
DUBLIN CITY,Chinese,5af0369522d490002c79540c,Bao House,1,4.3,264
DUBLIN CITY,Chinese,5516a003498ee5f4d3de819e,Sichuan Chili King,1,4.4,210
DUBLIN CITY,Chinese,4bde00310ee3a5935a8b2fb0,Charlies III,2,3.6,363
DUBLIN CITY,Chinese,4b6de4c2f964a52087992ce3,Jimmy Chung's,2,4,1613
DUBLIN CITY,Chinese,4eb58aa030f8d0f18c650a4f,Lee Kee,-,4,223
DUBLIN CITY,Chinese,5c2f6211dee770002c7ea8e4,Bowls by Kwanghi Chan,-,4.5,262
DUBLIN CITY,Chinese,5d5447ff29e8f7000851aa56,Bullet Duck And Dumplings,-,4.3,179
DUBLIN CITY,Chinese,4b3fe8c8f964a520d8b125e3,Charlies 3,2,3.6,363
DUBLIN CITY,Chinese,4c77f7e3a8683704e79f0b4d,New Empire,1,3.9,78
DUBLIN CITY,Chinese,4b163458f964a52086b723e3,Roasted Bean Coffee Company,1,4.3,84
DUBLIN CITY,Chinese,4e0fb74062843e04afb84613,Canton City,-,3.8,17
DUBLIN CITY,Chinese,57af66c1498eeb5b2e30031c,Lin's Palace,1,4,57
DUBLIN CITY,Chinese,4be307891dd22d7fee8295bd,Canton House,-,4.1,57
DUBLIN CITY,Chinese,51d86e5a498e62a2f8f9c5ac,Golden Palace,1,4.3,494
DUBLIN CITY,Chinese,570bdb4dcd1027f1f262a7ff,Gourmet Kitchen,1,4.4,85
DUBLIN CITY,Chinese,5155bacce4b03b3c9f9a2916,Chop Chop,-,3.9,73
DUBLIN CITY,Chinese,4b12d159f964a520b48e23e3,Charlies Four,1,3.5,281
DUBLIN CITY,Chinese,4f0884b1e4b026656e4a19b1,Emerald Court,-,3.7,48
DUBLIN CITY,Chinese,4b6f2363f964a5209fdf2ce3,Aberdeen Chinese Take Away,1,4.2,75
DUBLIN CITY,Chinese,4cb8c915a33bb1f742cb83fd,Bamboo,-,3.4,30
DUBLIN CITY,Chinese,54de14f2498eb547d6348463,Rialto Malaysian Chinese Takeaway,-,3.8,-
DUBLIN CITY,Chinese,4d543973dcb1a1432c6dbcbf,Ho Ho,1,3.8,98
DUBLIN CITY,Chinese,4b72b36ef964a5205e842de3,Charlies 5,1,3.5,281
DUBLIN CITY,Japanese,4af48636f964a5207cf321e3,Yamamori Sushi,2,4.4,2062
DUBLIN CITY,Japanese,51955e89498e30a47e57d4e0,Banyi Japanese Dining,2,4.4,1036
