Administrative_Area,Cuisine,Number of restaurants
DUBLIN CITY,Afghan,2
DUBLIN CITY,African,4
DUBLIN CITY,American,27
DUBLIN CITY,Burmese,0
DUBLIN CITY,Cambodian,0
DUBLIN CITY,Chinese,53
DUBLIN CITY,Filipino,1
DUBLIN CITY,Himalayan,1
DUBLIN CITY,Indonesian,1
DUBLIN CITY,Japanese,39
DUBLIN CITY,Korean,10
DUBLIN CITY,Malay,5
DUBLIN CITY,Mongolian,1
DUBLIN CITY,Thai,37
DUBLIN CITY,Tibetan,0
DUBLIN CITY,Vietnamese,8
DUBLIN CITY,Australian,4
DUBLIN CITY,Austrian,0
DUBLIN CITY,Bangladeshi,0
DUBLIN CITY,Belgian,4
DUBLIN CITY,Caribbean,1
DUBLIN CITY,Caucasian,0
DUBLIN CITY,Czech,6
DUBLIN CITY,Dutch,1
DUBLIN CITY,Belarusian,0
DUBLIN CITY,Bosnian,0
DUBLIN CITY,Bulgarian,0
DUBLIN CITY,Romanian,2
DUBLIN CITY,Tatar,0
DUBLIN CITY,English,8
DUBLIN CITY,French,55
DUBLIN CITY,German,1
DUBLIN CITY,Greek,10
DUBLIN CITY,Hawaiian,3
DUBLIN CITY,Hungarian,1
DUBLIN CITY,Indian,39
DUBLIN CITY,Italian,91
DUBLIN CITY,Salvadoran,0
DUBLIN CITY,Argentinian,5
DUBLIN CITY,Brazilian,16
DUBLIN CITY,Colombian,1
DUBLIN CITY,Peruvian,1
DUBLIN CITY,Venezuelan,1
DUBLIN CITY,Moroccan,5
DUBLIN CITY,Mexican,51
DUBLIN CITY,Egyptian,0
DUBLIN CITY,Iraqi,0
DUBLIN CITY,Israeli,1
DUBLIN CITY,Kurdish,0
DUBLIN CITY,Lebanese,2
DUBLIN CITY,Persian,2
DUBLIN CITY,Syrian,0
DUBLIN CITY,Yemeni,0
DUBLIN CITY,Pakistani,2
DUBLIN CITY,Polish,3
DUBLIN CITY,Portuguese,5
DUBLIN CITY,Russian,5
DUBLIN CITY,Scandinavian,0
DUBLIN CITY,Scottish,2
DUBLIN CITY,Slovak,0
DUBLIN CITY,Spanish,18
DUBLIN CITY,Sri Lankan,0
DUBLIN CITY,Swiss,2
DUBLIN CITY,Turkish,13
DUBLIN CITY,Ukranian,0
CORK COUNTY,Afghan,0
CORK COUNTY,African,0
CORK COUNTY,American,6
CORK COUNTY,Burmese,0
CORK COUNTY,Cambodian,0
CORK COUNTY,Chinese,15
CORK COUNTY,Filipino,0
CORK COUNTY,Himalayan,0
CORK COUNTY,Indonesian,1
CORK COUNTY,Japanese,7
CORK COUNTY,Korean,0
CORK COUNTY,Malay,4
CORK COUNTY,Mongolian,0
CORK COUNTY,Thai,5
CORK COUNTY,Tibetan,0
CORK COUNTY,Vietnamese,0
CORK COUNTY,Australian,0
CORK COUNTY,Austrian,0
CORK COUNTY,Bangladeshi,0
CORK COUNTY,Belgian,0
CORK COUNTY,Caribbean,0
CORK COUNTY,Caucasian,0
CORK COUNTY,Czech,0
CORK COUNTY,Dutch,0
CORK COUNTY,Belarusian,0
CORK COUNTY,Bosnian,0
CORK COUNTY,Bulgarian,0
CORK COUNTY,Romanian,0
CORK COUNTY,Tatar,0
CORK COUNTY,English,2
CORK COUNTY,French,5
CORK COUNTY,German,0
CORK COUNTY,Greek,1
CORK COUNTY,Hawaiian,1
CORK COUNTY,Hungarian,1
CORK COUNTY,Indian,10
CORK COUNTY,Italian,24
CORK COUNTY,Salvadoran,0
CORK COUNTY,Argentinian,0
